,id,content,
4242,1.45561E+18,"@wbcsd @PwC @Microsoft @abinbev @Philips High-carbon, polluting fossilfuel plastic/biomass 'waste' resources, 'supply chains'.
https://t.co/88Hr4Rx108
#COp26 #WBCSDatCOP #ClimateAction #netzero",Negative
1986,1.34974E+18,"Tracking the effects of glacial melting at the top of the world @Microsoft @UWMadison @icimod @Mila_Quebec  #SatelliteData #MachineLearning #ClimateChange
https://t.co/dL8togNqJ8",Neutral
4500,1.49119E+18,"Corporate VP Channel Sales and Channel Chief of @Microsoft, @rodneyc55 speaks on how the industry cloud platforms empower customers and partners to deliver on the energy transition.
#Energy #Sustainability https://t.co/TuSEIvAc3S https://t.co/N12Bw0auSr",Positive
1166,1.31095E+18,"@bp_plc and @Microsoft Partner to Drive Digital Energy #innovation and Advance #NetZero Carbon Goals https://t.co/RsAwoBo1sM  #SmartCities and clean cities, #cleanenergy parks, #consumer #energy and #IIoT  @Azure",Positive
1050,1.30796E+18,"Our interconnected world requires collective action - Microsoft on the Issues - @Microsoft https://t.co/QGVrPGKblg #sustainability #Tech4good

@AdamRogers2030 @Akwyz @debraruh @joconfino @amansinghcsr @davestangis @susanmcp1 @hjones_nike @timjmohin @marissar1",Positive
3186,1.40406E+18,"Here's why @Microsoft is sinking #data centres under the sea

#DigitalTransformation #BigData #ClimateChange 
@PawlowskiMario @JoannMoretti @MargaretSiegien @JolaBurnett @Shi4Tech @Dahl_Consult @Victoryabro @Hana_ElSayyed @segundoatdell @anand_narang @CurieuxExplorer @WSWMUC https://t.co/fmDPQhqLDp",Neutral
3482,1.42471E+18,"[Replay] This replay will demonstrate how @Microsoft  and @Citrix with their combined usage can help your company to seamlessly and securely connect its employees to their applications. 💻

👉https://t.co/4OJZ2PhhW8

#WVD #FlexibleWorkplace #Azure #Cloud #Security #Sustainability",Neutral
3442,1.42804E+18,"Through @Microsoft's innovative work at the Redmond Campus Project, its achieving its sustainability commitments and more.

Read all about it below! #BuiltWithOAC #Sustainability #Tech

https://t.co/tlBYaJv3qh",Positive
698,1.28632E+18,Join @Microsoft on August 4 @ 1PM ET for a complimentary #webcast that will explore the role of #forests in addressing #ClimateChange and how technology can make forest #carbon projects more credible. Register here: https://t.co/rySXk00Ecg https://t.co/6hI4JsnvHK,Positive
1438,1.31165E+18,"On 7 October join @WA_OIC (@SIFForum member) Insurance Commissioner @MikeKreidler at the #WAclimatesummit. His guests include @PresFawnSharp, reps from @Microsoft, @amazon, @Zurich @SironixEco, @UW, @HarvardEELP. Register here: https://t.co/PQpGX7p4VT 
#climatechange #climaterisk https://t.co/2PK5Ju4WbM",Neutral
3504,1.43137E+18,"@Pam_CEO @DukeEnergy @Accenture @Microsoft @Avanade We appreciate your partnership and commitment to #NetZero goals, @Pam_CEO! #Sustainable #Environment",Positive
4181,1.45605E+18,"The @TheAESCorp has partnered with @Microsoft to deliver #renewable #energy to the company's #datacenters in #Virginia. The agreement comes in support of Microsoft's 100/100/0 commitment. Read here! 👀
https://t.co/wytqMxLUbS",Positive
2693,1.3817E+18,Had a delivery from @Microsoft @microsoftcanada WOW they certainly do not care about the environment and packaging. I’m disgusted! #microsoft #environment #packaging  #environnement https://t.co/zIVpb3un5d,Negative
3171,1.40802E+18,"""Women are perfectly suited for this changing #environment. Not only are they good at #multitasking, they tend to be very good #listeners – and this quality is severely #underestimated.""- Anna Kopp, Head of IT and Regional Office Lead at @Microsoft  Munich Headquarters https://t.co/9P1WoVvNA1",Neutral
4298,1.47402E+18,"AVEVA and @Microsoft are accelerating industrial transformation. Our unique combination of capabilities help businesses capitalize on the power of technology to become more agile, resilient, and #sustainable. 

Read the case study to learn more https://t.co/eLqe8RJTQr #mspartner https://t.co/Fkyxz6phM6",Positive
2986,1.39183E+18,"Excited to hear forward thinking CEOs from industry leaders like @Microsoft and @ProcterGamble discussing the value of digital watermarks on packaging. Have a watch: 
#sustainability #digimarcplatform #digitalwatermarks #circulareconomy #holygrail2 

https://t.co/bioRAtG0c1",Positive
853,1.29275E+18,"#Inspire2020, @Microsoft's partner community event, is celebrating its 17th year digitally. Here are some of the exciting announcements about #technology, partnerships, and #sustainability goals. https://t.co/UgDvkfykGh https://t.co/cnwFqsSlhC",Positive
1727,1.34215E+18,"We have to make the most out of explosive data streams, says Wahid Ali. https://t.co/68czAwLHab #TPSS #IoT #sustainability #AI #cloud #edge #digitaltransformation #manufacturing #PeggySmedley #podcast #MicrosoftInfluencer .@Microsoft #AI",Positive
43,1.23462E+18,"AI presents endless opportunities, not only for partners but for everyone to benefit from improved societal impact and sustainability. @GretchenOHara shares her new role at @Microsoft to address these challenges. https://t.co/2C09uLlMsG #AI #Sustainability #MSUSPartner",Positive
492,1.27484E+18,Simplify the process of sending and receiving messages from the #cloud. Hear more from Pamela Cortez .@Azure https://t.co/4mDBni2BXT #TPSS #IoT #sustainability #AI #5G #cloud #edge #digitaltransformation #PeggySmedley .@Microsoft .@AltaOhms #podcast https://t.co/Xuht9MrPIA,Neutral
3433,1.42982E+18,Right-size inventory and #labor with #machinelearning. https://t.co/VpaoWbRF1Z #TPSS #transportation #IoT #futureofwork #sustainability #AI #5G #cloud #edge #digitaltransformation #PeggySmedley #podcast .@CloverImaging .@Microsoft .@CMichaelWalton #MicrosoftInfluencer,Neutral
3943,1.44608E+18,A new #green #cloud from @Microsoft will help companies track progress against carbon emission-reduction goals. @ZDNet #cdwsocial https://t.co/0V6HdE7psG https://t.co/QlTRsxp6AR,Positive
4397,1.48059E+18,Achieving #sustainability through collaboration &amp; the #IoT: https://t.co/gyCtnuF05R #AI #5G #cloud #edge #digitaltransformation #machinelearning @Black_Veatch @AVEVAGroup @ConEdison @elementanalytic @Microsoft @SkydioHQ https://t.co/5p9ZJf1gza,Positive
2323,1.37259E+18,There are real hurdles to creating immersive experiences. .@Microsoft is addressing these. https://t.co/FGzdxY326J #TPSS #MR #IoT #sustainability #AI #digitaltransformation #edge #cloud #futureofwork #PeggySmedley #MicrosoftIgnite #podcast https://t.co/GjINKHTPFQ,Positive
2978,1.39286E+18,CARBON WEBINAR: Ready to go net-zero? Start with decarbonizing buildings! Join VP #Sustainability @lisaconway215 @Microsoft @CarbonLeadForum on May 18 @ 1pm ET to learn how buildings &amp; material supply chains make an impact. https://t.co/PEllYYL6rP https://t.co/GZ7yLrbHBh,Positive
1588,1.32541E+18,"@nigewillson @Microsoft 👏👏👏👏👏
an amazing team work 
which will benefit us all 

#ai #artificialIntelligence #machinelearning #DeepLearning #Sustainability #plasticpollution",Neutral
2649,1.37974E+18,@Xbox @Microsoft seriously? Most vague and unintuitive instructions going but... only one set is in English... so much paper being wasted can’t be good for the Elite Series 2’s carbon footprint surely? #Sustainability https://t.co/6j7MXeV3aj,Negative
4512,1.4945E+18,"We’re working with @Microsoft to drive digital transformation in #energy and #manufacturing. See how enterprises can be more agile, resilient, and #sustainable with #cloud solutions, hosted by AVEVA’s Rob McGreevy and Microsoft’s Çağlayan Arkan https://t.co/HzV4MIsNe3&amp; #mspartner https://t.co/WWZeEz0nMo",Positive
